"","ProbeName","geneSymbol","LocusLinkID","moduleColor","GS.Treatment","p.GS.Treatment","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.brown","p.MM.brown"
"CUST_5787_PI428634872","CUST_5787_PI428634872","S_5sp_contig43971","AT3G29270","blue",-0.616429092604157,0.00644136049399119,-0.406264120506938,0.0943374404893784,0.776187892300193,0.000152517211670139,0.329042449680549,0.182441421650267
"CUST_11761_PI428634872","CUST_11761_PI428634872","S_alt_contig06935","AT1G70730","blue",-0.61638407941865,0.00644634372047485,-0.529240689529145,0.0239120516377171,0.834054960519109,1.69385911228072e-05,0.386971548406748,0.112636880239124
"CUST_10387_PI428634872","CUST_10387_PI428634872","S_alt_contig04263_NB",NA,"blue",-0.615928376304659,0.00649696883329334,-0.573967301734283,0.0127443473751695,0.834962897819973,1.62603978508811e-05,0.334615102298601,0.174703256545087
"CUST_11725_PI428634872","CUST_11725_PI428634872","S_alt_contig06851_NB",NA,"blue",-0.615459107259641,0.00654943708236164,-0.633014217817942,0.00480594708875975,0.725126829244698,0.000661565614249484,0.47958548330425,0.0440110285758132
"CUST_1400_PI428634872","CUST_1400_PI428634872","S_5sp_contig25317_RC","AT2G15790","blue",-0.614953330410406,0.00660637090730727,-0.394111649133739,0.105592594162655,0.850065264191814,7.93415346280488e-06,0.152514085820818,0.545736776740812
"CUST_177_PI428634872","CUST_177_PI428634872","S_5sp_contig07743","AT3G63400","blue",-0.614271311040403,0.00668377770790308,-0.720218611614646,0.000749198026477445,0.660790209570451,0.00283176703559267,0.562037958433172,0.0151983852133869
"CUST_15741_PI428634872","CUST_15741_PI428634872","S_alt_contig14091","AT1G76810","blue",-0.614233710917611,0.00668806644983853,-0.472632819931732,0.0476245002894121,0.707361356619575,0.00102579136517318,0.392830225681628,0.106832985065993
"CUST_14212_PI428634872","CUST_14212_PI428634872","S_alt_contig11139","AT5G61150","blue",0.614125017186495,0.00670047679413682,0.317849519981769,0.198668394180557,-0.661814760802752,0.00277427849449306,-0.284170870554126,0.253105588292956
"CUST_8302_PI428634872","CUST_8302_PI428634872","S_alt_contig01539_RC","AT3G07640","blue",0.613257462692062,0.00680020138417252,0.361159149415225,0.140884924485013,-0.720519388594333,0.000743562788914509,-0.350886411641631,0.153384346737631
"CUST_3502_PI428634872","CUST_3502_PI428634872","S_5sp_contig38943_RC","AT4G24390","blue",0.613181582468866,0.00680898055121266,0.396859099355061,0.102967916826976,-0.861830633134785,4.29007718582704e-06,-0.192614518732418,0.44383097158563
"CUST_7876_PI428634872","CUST_7876_PI428634872","S_alt_contig00966_RC","AT5G45275","blue",0.612951682516868,0.00683563545060354,0.405307657736607,0.0951903874607357,-0.837350800161673,1.45864931294427e-05,-0.362526539306173,0.139276154852131
"CUST_14449_PI428634872","CUST_14449_PI428634872","S_alt_contig11533","AT1G63160","blue",0.612465271830894,0.00689230885764344,0.279441625567501,0.261432015218915,-0.691369245319941,0.00148365237079481,-0.222243534063851,0.375419767679026
"CUST_10906_PI428634872","CUST_10906_PI428634872","S_alt_contig05264","AT5G19010","blue",0.611820901043679,0.00696797147144297,0.655330485186664,0.00315487425683323,-0.644728749185778,0.0038687790574465,-0.392350624553236,0.107299896109388
"CUST_16443_PI428634872","CUST_16443_PI428634872","S_alt_contig16269","AT4G25130","blue",-0.611746908401582,0.00697670258445576,-0.397484529406224,0.10237703443216,0.878316580324888,1.63886837845711e-06,0.213484715157293,0.395000243980848
"CUST_10085_PI428634872","CUST_10085_PI428634872","S_alt_contig03850_NB",NA,"blue",0.611683326029645,0.00698421235498462,0.394878170570231,0.104855562340463,-0.763167000476996,0.000229289243361683,-0.347234237843769,0.158005787440353
"CUST_10648_PI428634872","CUST_10648_PI428634872","S_alt_contig04723_NB",NA,"blue",-0.609102241655325,0.00729463181156876,-0.560694837988898,0.0154966374186395,0.689957450325873,0.00153112239675392,0.409168785643413,0.0917810203721499
"CUST_10317_PI428634872","CUST_10317_PI428634872","S_alt_contig04163_RC","AT1G76620","blue",0.609064278381593,0.00729927933677927,0.418085696783436,0.0842469484276392,-0.808776834085418,4.8379057866362e-05,-0.375552156640648,0.124587272976765
"CUST_14902_PI428634872","CUST_14902_PI428634872","S_alt_contig12304","AT1G68710","blue",0.608784052060165,0.00733365915737247,0.667075261865688,0.00249400355041988,-0.635920018863556,0.00455784620602189,-0.463496882891012,0.052709176141253
"CUST_4936_PI428634872","CUST_4936_PI428634872","S_5sp_contig42011_RC","AT1G06510","blue",-0.607895002909769,0.00744359989511567,-0.699047952743677,0.00124630565237345,0.723743877173544,0.000685341195518671,0.49621327868997,0.0362161759418094
"CUST_14967_PI428634872","CUST_14967_PI428634872","S_alt_contig12403","AT5G53440","blue",-0.607725219918015,0.00746474602461854,-0.390391798434001,0.109222033193993,0.750422484114407,0.00033372533996096,0.266745794848975,0.284619298234045
"CUST_8931_PI428634872","CUST_8931_PI428634872","S_alt_contig02364","AT5G16400","blue",-0.607537378705967,0.00748819777329891,-0.387697707975112,0.111905601805536,0.87587067703036,1.90637617559292e-06,0.267194474542982,0.283779120171599
"CUST_11242_PI428634872","CUST_11242_PI428634872","S_alt_contig05941","AT4G10930","blue",0.606696792763407,0.00759387393966102,0.310726014107628,0.209476346556532,-0.681859177630189,0.00182838945894556,-0.368369749299811,0.132545227773999
"CUST_15516_PI428634872","CUST_15516_PI428634872","S_alt_contig13394","AT5G50810","blue",0.606617741048693,0.00760387372149554,0.437067393429327,0.0697271866947933,-0.555303183556013,0.0167409254042012,-0.28947835108311,0.243961981538189
"CUST_16344_PI428634872","CUST_16344_PI428634872","S_alt_contig15916","AT3G58610","blue",0.606052000454117,0.0076757487361391,0.358356711258335,0.144222238601271,-0.860560637156579,4.59658382651976e-06,-0.153824944248074,0.542248575526446
"CUST_4567_PI428634872","CUST_4567_PI428634872","S_5sp_contig41285","AT5G40530","blue",-0.605262029356479,0.00777702777980519,-0.63152099276444,0.00493765540781268,0.611286429991296,0.00703123801380015,0.501339525757014,0.0340413576346448
"CUST_2762_PI428634872","CUST_2762_PI428634872","S_5sp_contig33405","AT3G56970","blue",0.605226872333812,0.00778156005881698,0.410285043816856,0.0908120743196738,-0.682348789526838,0.00180915689838587,-0.39450291715888,0.105215917299753
"CUST_16339_PI428634872","CUST_16339_PI428634872","S_alt_contig15894_NB",NA,"blue",0.605100782527307,0.00779783249954262,0.439762711563103,0.0678264121662944,-0.613499906089098,0.00677221261035012,-0.348017061694593,0.157007292696615
"CUST_14793_PI428634872","CUST_14793_PI428634872","S_alt_contig12125","AT1G02500","blue",-0.604464301813189,0.00788039274700606,-0.405244737147245,0.0952466929138955,0.861184040520134,4.44385856573864e-06,0.317252940831022,0.19955913153851
"CUST_16385_PI428634872","CUST_16385_PI428634872","S_alt_contig16052","AT4G28610","blue",-0.603102035040139,0.00805946781325298,-0.592360491125183,0.00958943892348174,0.739157285717419,0.000456879950391098,0.428243432691269,0.076226172462101
"CUST_13072_PI428634872","CUST_13072_PI428634872","S_alt_contig09289_RC","AT5G19840","blue",0.601392674861453,0.00828879599628561,0.43173424069476,0.0736039885933675,-0.859698773756788,4.81513946625162e-06,-0.265544474147114,0.286876306790132
"CUST_6132_PI428634872","CUST_6132_PI428634872","S_5sp_contig45112","AT1G53530","blue",0.600999712521967,0.0083422520372,0.278926398366218,0.262349332169697,-0.757028827307677,0.000275485005634303,-0.19700187865995,0.433316148718532
"CUST_12176_PI428634872","CUST_12176_PI428634872","S_alt_contig07674","AT4G25880","blue",0.600959995604668,0.00834767028628173,0.311363888422119,0.208493211839656,-0.787036907782177,0.000106357518498508,-0.286464426336832,0.249128248476733
"CUST_2658_PI428634872","CUST_2658_PI428634872","S_5sp_contig32903","AT2G43080","blue",0.600956376285667,0.00834816418082539,0.646480768679197,0.00374246213171149,-0.737004491859276,0.000484290371547933,-0.373204573414638,0.127150385258012
"CUST_3859_PI428634872","CUST_3859_PI428634872","S_5sp_contig39840_RC","AT5G14100","blue",0.600908289041781,0.00835472843090562,0.243934859164858,0.329326131356635,-0.701720111052023,0.00117150557109501,-0.315716986869018,0.201864523911643
"CUST_3178_PI428634872","CUST_3178_PI428634872","S_5sp_contig35971","AT1G74940","blue",-0.5993360508569,0.00857165155723035,-0.393765788042143,0.10592636001193,0.873470825775279,2.20455815493774e-06,0.219660646818604,0.381136697874269
"CUST_15199_PI428634872","CUST_15199_PI428634872","S_alt_contig12784",NA,"blue",0.596759071590583,0.00893698967341224,0.554383257914577,0.016960898637756,-0.544302365100667,0.0195243713620539,-0.277826062846712,0.264315091530808
"CUST_11862_PI428634872","CUST_11862_PI428634872","S_alt_contig07115","AT5G14240","blue",0.59625765719959,0.00900950938879091,0.522393272828809,0.0261453323078032,-0.7062050431923,0.00105435885380939,-0.404339841968109,0.0960591152451212
"CUST_9444_PI428634872","CUST_9444_PI428634872","S_alt_contig03022","AT2G05710","blue",-0.595513183672117,0.00911805509859691,-0.416859267893751,0.0852554562093608,0.738123112520721,0.000469880431438884,0.262984940462794,0.291721337103418
"CUST_13312_PI428634872","CUST_13312_PI428634872","S_alt_contig09690_NB",NA,"blue",-0.594211080876237,0.00931043046757365,-0.609109297571632,0.00729376827847458,0.682029316010094,0.00182168714169061,0.406321648298552,0.0942863155817879
"CUST_7837_PI428634872","CUST_7837_PI428634872","S_alt_contig00904","AT3G60030","blue",-0.594155665096491,0.00931868949367497,-0.662583565145257,0.00273177319078123,0.69215489453937,0.00145776858320753,0.53888793691015,0.0210218126467459
"CUST_11824_PI428634872","CUST_11824_PI428634872","S_alt_contig07053","AT1G43850","blue",-0.594131975518857,0.00932222192363039,-0.396870398734735,0.102957219957677,0.850857224911108,7.62499868240752e-06,0.28859449606787,0.245469933256984
"CUST_7269_PI428634872","CUST_7269_PI428634872","S_alt_contig00132","AT3G55480","blue",-0.593746805367523,0.00937980703402146,-0.51129158459385,0.0301077124463637,0.713801145231252,0.000878213493699387,0.408825025289944,0.0920809179761716
"CUST_16540_PI428634872","CUST_16540_PI428634872","S_mar_contig00194","AT1G53800","blue",-0.591626884794034,0.00970188398393571,-0.500091673445671,0.0345612436476266,0.814501204319411,3.86756667172246e-05,0.283774355244345,0.253797222270934
