"","ProbeName","oil_1_1_Median","oil_1_3_Median","oil_2_4_Median","oil_2_5_Median","oil_2_6_Median","oil_3_7_Median","oil_3_8_Median","oil_3_9_Median","no_4_10_Median","no_4_11_Median","no_5_13_Median","no_5_14_Median","no_5_15_Median","no_6_16_Median","no_6_17_Median","no_6_18_Median","oil_1_19_Median","no_4_20_Median","geneSymbol","LocusLinkID","moduleColor"
"452","CUST_13165_PI428634872",-1.068445833,-1.576931106,-1.552633739,-1.553317627,-1.617165013,-0.841758474,-0.840963532,-0.492464632,-0.491850103,-0.877447701,-1.111751179,-1.006602306,-1.06907991,-0.162511697,0.036570746,-0.206642764,-2.035778171,-1.277276522,"S_alt_contig09450","AT4G19140","brown"
"453","CUST_1317_PI428634872",-1.212654301,-1.160289335,-1.152464422,-1.266882761,-1.502798766,-1.428889979,-1.439426497,-1.921917938,-1.930651457,-1.358577768,-1.693423993,-1.599110877,-1.554191266,-2.122877141,-1.788455453,-1.804471342,-1.50117448,-0.925482732,"S_5sp_contig24375","AT2G04940","brown"
"454","CUST_13171_PI428634872",-5.002311988,-4.757279957,-4.73106035,-5.029987278,-4.605911856,-4.701687133,-3.985142503,-4.741429168,-5.03907287,-5.043686912,-5.272998584,-5.23457762,-5.458165242,-5.571365915,-5.529868232,-5.304422323,-5.274210035,-4.805094748,"S_alt_contig09460","AT3G57650","brown"
"455","CUST_13186_PI428634872",-2.498565847,-2.350404961,-2.296217529,-1.976154875,-1.772401859,-1.613122436,-2.010108599,-1.520929931,-1.284072644,-1.50016745,-1.965662175,-2.107621869,-2.240780839,-1.783273902,-1.722962561,-1.678876319,-2.037588862,-1.814203734,"S_alt_contig09488_RC","AT3G20270","brown"
"456","CUST_132_PI428634872",2.694956817,3.331276375,2.67581509,2.601684162,2.582250041,2.446202828,2.430810518,2.360469194,2.642062344,2.573550208,2.590732839,2.570825124,2.438350573,2.416972599,2.435505974,2.40624168,2.754813289,2.244206184,"S_5sp_contig06442_RC",NA,"brown"
"457","CUST_13204_PI428634872",-0.085873794,0.311091441,0.197658945,-0.026695623,-0.036652021,-0.092576118,-0.160250624,-0.029889611,0.058399442,0.03093899,0.178091432,0.139712703,0.072572028,-0.387456691,-0.766059084,-0.73354396,-0.048103455,-0.180879814,"S_alt_contig09514_RC","AT3G55220","brown"
"458","CUST_13222_PI428634872",0.715069452,0.68430611,0.906387258,0.882745972,0.86377817,0.706986339,0.889724627,1.107193649,1.1579341,1.290331776,1.052413629,0.921661238,0.832069698,1.536998361,0.959686605,1.34496241,0.591294106,0.809982439,"S_alt_contig09542","AT1G16560","brown"
"459","CUST_13240_PI428634872",-2.394674562,-1.132008779,-1.816960405,-2.581269558,-2.41024004,-3.190579752,-2.673373767,-3.712500886,-2.126868021,-1.99462631,-2.230333449,-2.232617036,-2.014081707,-2.999915611,-3.07762496,-2.820362979,-2.973686884,-2.436022485,"S_alt_contig09573","AT4G32410","brown"
"460","CUST_13242_PI428634872",-1.40713244,-1.349388349,-1.6130096,-1.406192721,-1.461449988,-1.523039482,-1.470083709,-1.338176316,-1.569106586,-1.54278191,-1.573173885,-1.484794741,-1.544676571,-1.669112334,-1.436310387,-1.492494961,-1.589309989,-1.431252858,"S_alt_contig09575_RC","AT3G27530","brown"
"461","CUST_13249_PI428634872",-3.914731452,-4.235008097,-5.338552255,-4.805224826,-4.329721836,-3.708025543,-3.985204144,-3.805063218,-3.411991433,-4.418659401,-4.278982324,-4.414966804,-4.528277038,-4.063032117,-3.413555542,-4.141483956,-4.728184641,-4.252171327,"S_alt_contig09582_RC","AT3G59140","brown"
"462","CUST_13257_PI428634872",0.762770102,0.526152296,0.233464255,0.300543619,0.427861342,0.117642801,-0.078435919,-0.382865353,-0.168396279,-0.328490349,-0.1250957,-0.059216716,-0.120029077,-0.441576071,-0.437218812,-0.419311551,0.996595301,-0.070534493,"S_alt_contig09593","AT1G12770","brown"
"463","CUST_1326_PI428634872",-6.329583209,-5.587395495,-7.504395316,-6.442782922,-6.63013217877778,-7.091814841,-6.721934994,-6.997801997,-7.236636903,-7.277658295,-6.488404075,-7.132816682,-7.335741042,-7.387722744,-7.627621868,-7.344647872,-7.09091489075,-6.585083588,"S_5sp_contig24506","AT1G58390","brown"
"464","CUST_13277_PI428634872",1.041901181,1.310303716,1.258669863,1.420313414,1.210735601,1.496801522,1.713011401,1.49520433,1.3222757,1.537993695,1.28604194,1.430581011,1.282105961,2.406625186,2.205048349,2.203800773,1.333406556,1.371483522,"S_alt_contig09628","AT1G10630","brown"
"465","CUST_13288_PI428634872",0.538420213,0.391992175,0.435178,0.256416084,0.563393227,0.62302474,0.424957416,0.212641087,-0.148912004,-0.241826607,0.26367884,0.236219243,0.12288612,-0.194122492,-0.09396531,-0.182539661,0.373234044,0.001292519,"S_alt_contig09643","AT4G29060","brown"
"466","CUST_13291_PI428634872",2.244282475,2.031311558,2.307299178,2.251464308,1.269479465,2.876256645,2.5477344,2.817427518,2.08720516,2.200159094,0.945977775,1.481754249,1.876112434,3.324397655,3.542649051,3.226241626,2.988079994,1.525389885,"S_alt_contig09648","AT3G14230","brown"
"467","CUST_13304_PI428634872",-4.552945313,-4.257768706,-3.843432939,-3.730558285,-3.813326251,-3.771378079,-3.718674914,-3.572554218,-3.329757573,-3.449701319,-3.386159605,-3.632498313,-3.765487014,-3.238389859,-2.852471675,-2.960188575,-3.71999284,-3.560774774,"S_alt_contig09673_NB",NA,"brown"
"468","CUST_13311_PI428634872",-1.204339047,-0.956335948,-1.187088552,-1.399212852,-0.985597911,-1.587013272,-0.867086569,-1.925777627,-1.434114422,-1.288210996,-1.141339926,-1.379077927,-1.510249025,-2.154310965,-2.121486022,-2.11111558,-1.044062448,-1.244107803,"S_alt_contig09689","AT2G37840","brown"
"469","CUST_13313_PI428634872",-4.126839742,-4.933385864,-4.889064966,-4.404167143,-5.0589314,-4.646930208,-4.519857195,-4.25580424,-3.892245322,-4.291669405,-3.845255783,-4.237435783,-4.223613249,-3.888671163,-4.175874397,-4.050841351,-4.080291221,-4.665744123,"S_alt_contig09695_RC","AT1G24330","brown"
"470","CUST_13315_PI428634872",0.696087432,0.654689373,0.745534339,0.84990581,0.748476037,0.912611516,0.858515827,1.035385919,1.035553332,1.027346856,0.896822024,0.840370573,0.821867241,1.105729629,1.081552247,1.001712285,0.647252842,0.601640902,"S_alt_contig09698","AT5G10350","brown"
"471","CUST_13366_PI428634872",-4.138507065,-2.657687667,-3.913616749,-4.2954274,-3.983720013,-4.066236151,-3.746580702,-4.278245082,-3.888996283,-4.051284838,-4.062849248,-3.875295106,-3.993070633,-4.036726874,-4.110405244,-4.297926102,-4.554443079,-4.125988039,"S_alt_contig09770","AT3G56850","brown"
"472","CUST_13382_PI428634872",-1.488721879,-0.504595573,-2.729221911,-2.5022703857,-1.787951349,-2.8012632941,-4.501952481,-3.328156851,-4.274340806,-3.899376419,-3.951953052,-3.51380708,-3.832445104,-6.784066212,-3.3560629903,-3.4041884053,-1.730138561,-2.154866445,"S_alt_contig09791","AT3G47640","brown"
