"","locus","SAlog2ratio","WeisLog2ratio"
"70","AT3G15360",0.146421812143459,-1.0296420023443
"71","AT3G18080",0.309512536828033,-1.22435543876007
"72","AT3G18290",0.13493625184458,1.8014947218651
"73","AT3G22850",-1.25634082183964,1.28334813353113
"74","AT3G24430",1.20124394586342,-1.47720287313745
"75","AT3G27925",0.400697825756683,-1.4633461713533
"76","AT3G44750",3.89542485152485,1.12364193366167
"77","AT3G45140",-1.56987610908173,1.67028089797982
"78","AT3G47070",1.08676026963385,-2.79116410644654
"79","AT3G47470",0.129297635581849,-1.32007516557254
"80","AT3G54050",NA,-1.61115214618059
"81","AT3G54660",0.0166437937490888,-1.02667348237304
"82","AT3G54890",1.21428543841093,-1.70240956128789
"83","AT3G55330",1.4987806587546,-1.54496979419007
"84","AT3G55800",0.643934777012595,-1.49597776105171
"85","AT3G56940",0.319497502997675,-1.24450823366658
"86","AT3G58810",-0.198618852334009,2.22456244044237
"87","AT3G61060",0.174315399370775,-2.29445498503391
"88","AT3G63490",0.215112295274861,-1.31293007840653
"89","AT4G01150",0.326020530141928,-1.08248938361333
"90","AT4G01800",-0.073959402889715,-1.53544358603674
"91","AT4G02530",3.20733212887174,-1.17422557017768
"92","AT4G09650",0.387198765620657,-1.45786655423677
"93","AT4G10340",0.714631700560619,-1.16833337621104
"94","AT4G12800",0.228223153846293,-1.18890463090205
"95","AT4G13250",NA,-1.05054980410561
"96","AT4G15610",0.363464294968007,1.03598659360057
"97","AT4G16260",-2.09818314551142,2.65328026123953
"98","AT4G16410",1.62080233358177,-1.20461334330879
"99","AT4G18240",0.225823770326959,-1.19384195987949
"100","AT4G18370",0.712076981697935,-1.55123151543016
"101","AT4G19880",-0.968054368603131,1.2575443722608
"102","AT4G20360",0.282069764378754,-1.25031581236402
"103","AT4G21280",-0.38600725793396,-1.72318505621225
"104","AT4G22890",0.25356401316111,-1.76827312830105
"105","AT4G27280",-3.31171504951367,-2.35135783654959
"106","AT4G29060",0.221247042754158,-1.04002226110278
"107","AT4G30950",NA,-1.18889382112249
"108","AT4G33500",0.297778266599799,-1.36393986070498
"109","AT4G34090",0.748785236700464,-1.76750920309002
"110","AT4G35250",2.0592911325819,-2.017227542303
"111","AT4G35760",-0.802651219800852,-1.03482447489933
"112","AT4G36430",-1.66802886240245,1.92314507959067
"113","AT4G37040",2.17819449582926,-1.37041768697952
"114","AT4G37870",0.0636790109766363,1.14806223462269
"115","AT5G04140",-0.441782952256186,-1.86596443062155
"116","AT5G06690",0.495147717151321,-1.93525510129273
"117","AT5G13630",0.34659784673383,-2.47592455946273
"118","AT5G13650",0.60191726601146,-1.20962765954028
"119","AT5G13750",-0.134579865708127,1.4054734344227
"120","AT5G14260",NA,-1.16679969839217
"121","AT5G16400",0.22046026324429,-1.88555337586051
"122","AT5G16710",-0.214931955943493,-1.05375222112558
"123","AT5G17380",0.265698113888792,1.23573359263347
"124","AT5G19220",NA,-1.45599732104548
"125","AT5G19440",1.02827988970742,1.28764321919202
"126","AT5G24300",0.594922789855443,-1.33338074831898
"127","AT5G24530",1.01171047574584,2.48511250212626
"128","AT5G24800",-0.764582282069404,-1.01074848661134
"129","AT5G25770",0.60133089123297,1.11013079969528
"130","AT5G36170",0.595843635205709,-1.14744301101634
"131","AT5G46110",0.43656699210929,-1.21906147463487
"132","AT5G48790",-6.93973484479161,-1.84057772129866
"133","AT5G52440",-0.954826812500025,-1.19636500355948
"134","AT5G54270",0.224751085867448,-1.46061468518515
"135","AT5G54500",-0.310259270509395,1.68094812760396
"136","AT5G61820",0.268187264515027,1.51963511202625
"137","AT5G65220",0.0614151953809242,-1.2574736933967
"138","AT5G65840",2.33389501509392,-1.0557480137715
"139","AT5G67030",NA,-1.3815948479176
"140","ATCG00020",0.132669360301629,-2.06614636869632
"141","ATCG00140",0.31899876701583,-1.15852407951506
"142","ATCG00150",0.392266733565723,-1.84060852248119
