locus,30m,2h,4h,8h,24h
At1g01960,0.23,0.05,-0.37,-0.96,0.06
At1g05100,0.14,0.70,0.26,0.99,0.32
At3g49670,0.01,0.02,-0.33,-0.93,-0.76
At1g67600,0.01,0.45,0.50,1.25,1.07
At5g59820,1.19,1.63,2.14,2.70,2.50
At1g22640,0.20,-0.47,-0.67,-0.58,-0.83
At4g38620,3.51,2.19,2.30,2.18,1.94
At4g24770,0.20,0.05,-0.36,-0.17,-0.70
At1g29600,-0.10,-0.15,-0.19,-1.22,-1.02
At4g17810,0.11,-0.18,-0.89,-0.78,-1.03
At2g24500,0.11,0.45,0.35,1.13,0.76
At3g28210,0.36,0.52,0.98,1.60,2.09
At3g57670,0.10,-0.06,0.03,0.46,0.85
At3g46080,0.27,1.03,0.95,1.39,1.72
At5g59570,0.00,0.40,0.24,1.32,0.16
At3g28910,-0.26,-0.03,-0.16,0.89,0.59
At5g58900,-0.06,-0.40,-0.22,-0.72,0.11
At1g71520,0.11,0.57,0.73,1.47,0.62
At1g43160,0.02,-0.57,-1.57,-1.16,-0.99
At2g38250,-0.17,0.44,0.40,0.71,0.54
At1g29280,0.02,0.07,-0.09,-0.95,-0.51
At2g25000,-0.04,-0.29,-0.13,-0.93,-0.32
At4g23550,-0.19,-0.38,-0.73,-0.76,-1.01
At3g56400,-0.18,-0.08,0.23,-0.10,0.70
At2g46400,-0.19,-0.20,0.27,0.15,0.76
At1g19220,0.09,0.19,0.63,0.18,0.82
At1g66160,0.04,0.21,0.29,0.58,0.75
At1g21570,-0.07,-0.70,-0.14,-1.57,-0.55
At4g38160,0.27,-0.10,-0.90,-0.92,-0.79
At3g53460,-0.19,-0.27,-1.04,-0.50,-0.56
At4g16830,0.01,-0.02,-0.42,-0.82,-0.54
At5g04430,0.07,-0.15,-0.09,-0.19,-0.72
At3g45140,-0.12,0.51,0.51,-0.24,-1.11
At1g66100,-0.20,-0.03,0.44,0.82,-1.11
At2g43590,0.14,-0.01,0.24,0.48,1.09
At1g75040,0.21,1.32,1.50,1.71,1.75
At1g73260,-0.05,0.20,-1.74,-0.39,0.23
At3g62600,0.03,-0.16,0.54,-0.13,0.79
At1g18980,0.20,1.16,1.55,1.57,1.59
At2g21620,-0.01,0.75,0.94,1.28,1.82
At5g64250,-0.01,0.35,0.59,1.62,1.55
At5g19440,-0.11,-0.07,0.33,0.66,1.28
At1g12090,-0.06,-0.04,-0.52,-0.33,-1.08
At4g12480,-0.03,0.13,0.02,-0.15,1.19
At4g12490,0.22,0.07,0.66,0.28,1.90
At3g22600,0.16,1.68,1.96,1.36,1.96
At2g48140,0.02,0.74,1.20,0.73,0.40
At4g14890,-0.10,-0.19,-0.48,-0.97,-1.01
At5g16970,-0.22,0.02,0.18,1.15,1.28
At2g29350,-0.17,0.17,0.82,0.59,1.55
At4g20860,0.51,0.91,0.61,1.45,1.79
At1g30700,0.48,1.26,1.06,1.56,2.28
At3g56910,0.13,0.14,-0.13,-0.32,-0.75
At1g66580,0.32,0.45,0.63,1.26,1.44
At4g29060,-0.03,0.04,-0.24,-1.07,-0.60
At1g78660,0.36,1.98,0.95,1.96,1.27
At1g32960,0.11,0.06,0.20,0.47,1.27
At5g42300,0.08,0.21,0.64,0.81,1.23
At1g63840,0.83,1.80,1.64,2.10,2.16
At3g01480,0.07,0.01,-0.76,-0.54,-0.88
At4g14365,-0.10,-0.35,0.17,-0.05,1.36
At4g02380,0.19,0.22,-0.18,0.59,1.17
At3g10500,0.12,0.77,0.66,1.48,1.16
At2g41380,-0.07,0.04,0.47,0.87,1.99
At5g22640,0.24,0.03,-0.37,-0.90,-0.56
At4g23700,0.14,0.40,0.28,0.38,0.97
At1g68570,0.19,0.61,0.54,0.48,1.14
At4g23400,-0.29,-0.16,-1.06,-0.99,-1.50
At2g36950,0.21,0.45,-0.10,1.26,1.01
At4g25640,0.27,1.66,1.40,1.98,2.11
At3g20820,0.01,-0.07,-0.80,-0.60,-0.86
At3g50440,0.04,0.96,0.82,0.18,1.12
At5g27760,0.14,0.47,0.83,1.19,1.43
At1g21670,0.16,0.97,0.12,1.20,1.79
At2g05380,0.25,0.23,-0.09,1.00,1.85
At2g25510,-0.09,0.23,0.11,-0.40,-1.52
At5g51720,-0.06,-0.25,-0.17,-0.38,-1.24
At5g39210,-0.09,0.14,-0.58,-1.27,-0.89
At5g11420,-0.08,-0.31,-0.89,-0.79,-0.71
At3g50685,-0.06,0.18,-0.28,-0.31,-0.66
At3g18250,0.13,-0.12,-0.12,0.13,0.71
At5g51040,-0.04,-0.09,0.31,0.33,0.83
At5g62630,0.14,0.07,0.43,0.52,1.21
