locus	DumasLog2ratio
AT3G13470	Downregulated
AT5G02490	Upregulated
AT5G55230	Downregulated
AT1G64740	Downregulated
AT5G54710	Upregulated
AT1G13330	Upregulated
AT5G13120	Downregulated
AT2G35980	Upregulated
AT4G12420	Downregulated
AT5G63420	Downregulated
AT3G14770	Upregulated
AT2G34355	Upregulated
AT3G02380	Downregulated
AT3G16690	Downregulated
AT5G14930	Upregulated
AT2G23810	Upregulated
AT3G49530	Upregulated
AT2G07671	Upregulated
AT1G80830	Downregulated
AT2G23150	Upregulated
AT5G55930	Downregulated
AT3G45700	Downregulated
AT1G27080	Upregulated
AT2G45960	Downregulated
AT2G37180	Downregulated
AT4G35100	Downregulated
AT1G66570	Upregulated
AT1G22710	Upregulated
AT5G15410	Downregulated
AT2G36590	Upregulated
AT1G61790	Upregulated
AT4G21120	Upregulated
AT5G15640	Upregulated
AT2G17500	Upregulated
AT1G76520	Upregulated
AT1G76530	Upregulated
AT1G29310	Upregulated
AT4G36640	Upregulated
AT3G51670	Upregulated
AT1G19100	Downregulated
AT5G26290	Downregulated
AT4G36850	Downregulated
AT5G48430	Upregulated
AT5G26280	Downregulated
AT3G51660	Upregulated
AT4G15390	Downregulated
AT1G76160	Downregulated
AT5G51550	Downregulated
AT3G20370	Downregulated
AT1G70280	Downregulated
AT5G26260	Downregulated
AT3G54600	Downregulated
AT2G43445	Upregulated
AT4G34120	Upregulated
AT2G23680	Upregulated
AT5G62720	Upregulated
AT1G23890	Upregulated
AT4G24160	Upregulated
AT3G44190	Upregulated
AT5G22140	Upregulated
AT3G28270	Downregulated
AT4G24930	Downregulated
AT4G34290	Downregulated
AT1G23880	Upregulated
AT2G15240	Upregulated
AT5G18480	Upregulated
AT1G36622	Upregulated
AT1G14870	Upregulated
AT1G70800	Upregulated
AT2G17740	Upregulated
AT3G62530	Downregulated
AT2G05530	Upregulated
AT1G07135	Upregulated
AT5G55750	Upregulated
AT3G54580	Downregulated
AT5G45350	Upregulated
AT4G27657	Upregulated
AT4G39670	Upregulated
AT2G47950	Upregulated
AT1G34630	Upregulated
AT1G74450	Upregulated
AT3G21520	Upregulated
AT5G12960	Upregulated
AT1G76980	Upregulated
AT3G04300	Upregulated
AT2G27385	Downregulated
AT5G25460	Downregulated
AT4G29905	Downregulated
AT1G64370	Downregulated
AT3G49570	Upregulated
AT3G60320	Downregulated
AT1G29560	Downregulated
AT5G38980	Downregulated
AT5G44580	Downregulated
AT5G01015	Downregulated
AT1G29050	Downregulated
AT1G15415	Upregulated
AT2G18680	Upregulated
AT2G12557	Upregulated
AT3G51130	Upregulated
AT1G76070	Upregulated
AT3G14000	Upregulated
AT4G17840	Upregulated
AT2G34070	Upregulated
AT1G05575	Upregulated
AT1G72490	Upregulated
AT1G18510	Upregulated
AT2G23110	Upregulated
AT1G18290	Downregulated
AT5G36960	Upregulated
AT5G01750	Upregulated
AT2G46390	Upregulated
AT2G37940	Upregulated
AT1G65845	Downregulated
AT3G56260	Upregulated
AT2G37110	Upregulated
AT3G20510	Upregulated
AT3G13950	Upregulated
AT2G32190	Upregulated
AT5G25250	Upregulated
AT5G25260	Upregulated
