ID	Species	Log2ratio
AT3G55330	Weisman	Downregulated
AT3G55330	Dumas	NA
AT3G55800	Spartina	Upregulated
AT3G55800	Weisman	Downregulated
AT3G55800	Dumas	NA
AT3G56940	Spartina	Upregulated
AT3G56940	Weisman	Downregulated
AT3G56940	Dumas	NA
AT3G58810	Spartina	Upregulated
AT3G58810	Weisman	Upregulated
AT3G58810	Dumas	NA
AT3G61060	Spartina	Downregulated
AT3G61060	Weisman	Downregulated
AT3G61060	Dumas	NA
AT3G63490	Spartina	Upregulated
AT3G63490	Weisman	Downregulated
AT3G63490	Dumas	NA
AT4G01150	Spartina	Upregulated
AT4G01150	Weisman	Downregulated
AT4G01150	Dumas	NA
AT4G01800	Spartina	Upregulated
AT4G01800	Weisman	Downregulated
AT4G01800	Dumas	NA
AT4G02530	Spartina	Upregulated
AT4G02530	Weisman	Downregulated
AT4G02530	Dumas	NA
AT4G09650	Spartina	Upregulated
AT4G09650	Weisman	Downregulated
AT4G09650	Dumas	NA
AT4G10340	Spartina	Upregulated
AT4G10340	Weisman	Downregulated
AT4G10340	Dumas	NA
AT4G12800	Spartina	Upregulated
AT4G12800	Weisman	Downregulated
AT4G12800	Dumas	NA
AT4G13250	Spartina	Downregulated
AT4G13250	Weisman	Downregulated
AT4G13250	Dumas	NA
AT4G14320	Spartina	Upregulated
AT4G14320	Weisman	NA
AT4G14320	Dumas	Downregulated
AT4G15610	Spartina	Downregulated
AT4G15610	Weisman	Upregulated
AT4G15610	Dumas	NA
AT4G16260	Spartina	Downregulated
AT4G16260	Weisman	Upregulated
AT4G16260	Dumas	NA
AT4G16410	Spartina	Upregulated
AT4G16410	Weisman	Downregulated
AT4G16410	Dumas	NA
AT4G18240	Spartina	Downregulated
AT4G18240	Weisman	Downregulated
AT4G18240	Dumas	NA
AT4G18370	Spartina	Upregulated
AT4G18370	Weisman	Downregulated
AT4G18370	Dumas	NA
AT4G19880	Spartina	Downregulated
AT4G19880	Weisman	Upregulated
AT4G19880	Dumas	NA
AT4G20360	Spartina	Upregulated
AT4G20360	Weisman	Downregulated
AT4G20360	Dumas	NA
AT4G21280	Spartina	Upregulated
AT4G21280	Weisman	Downregulated
AT4G21280	Dumas	NA
AT4G22890	Spartina	Upregulated
AT4G22890	Weisman	Downregulated
AT4G22890	Dumas	NA
AT4G27280	Spartina	Upregulated
AT4G27280	Weisman	Downregulated
AT4G27280	Dumas	NA
AT4G29060	Spartina	Upregulated
AT4G29060	Weisman	Downregulated
AT4G29060	Dumas	Downregulated
AT4G30950	Spartina	Upregulated
AT4G30950	Weisman	Downregulated
AT4G30950	Dumas	NA
AT4G33420	Spartina	Downregulated
AT4G33420	Weisman	NA
AT4G33420	Dumas	Upregulated
AT4G33500	Spartina	Upregulated
AT4G33500	Weisman	Downregulated
AT4G33500	Dumas	NA
AT4G34090	Spartina	Upregulated
AT4G34090	Weisman	Downregulated
AT4G34090	Dumas	NA
AT4G34670	Spartina	Upregulated
AT4G34670	Weisman	NA
AT4G34670	Dumas	Downregulated
AT4G35250	Spartina	Upregulated
AT4G35250	Weisman	Downregulated
AT4G35250	Dumas	NA
AT4G35760	Spartina	Upregulated
AT4G35760	Weisman	Downregulated
AT4G35760	Dumas	NA
AT4G36430	Spartina	Upregulated
AT4G36430	Weisman	Upregulated
AT4G36430	Dumas	NA
AT4G37040	Spartina	Upregulated
AT4G37040	Weisman	Downregulated
AT4G37040	Dumas	NA
AT4G37870	Spartina	Upregulated
AT4G37870	Weisman	Upregulated
AT4G37870	Dumas	NA
AT4G38160	Spartina	Upregulated
AT4G38160	Weisman	NA
AT4G38160	Dumas	Downregulated
AT4G39670	Spartina	Downregulated
AT4G39670	Weisman	NA
AT4G39670	Dumas	Upregulated
AT5G01750	Spartina	Downregulated
AT5G01750	Weisman	NA
AT5G01750	Dumas	Upregulated
AT5G03300	Spartina	Upregulated
AT5G03300	Weisman	NA
AT5G03300	Dumas	Downregulated
AT5G04140	Spartina	Upregulated
AT5G04140	Weisman	Downregulated
AT5G04140	Dumas	NA
AT5G04430	Spartina	Upregulated
AT5G04430	Weisman	NA
AT5G04430	Dumas	Downregulated
AT5G06690	Spartina	Downregulated
AT5G06690	Weisman	Downregulated
AT5G06690	Dumas	NA
AT5G10560	Spartina	Downregulated
AT5G10560	Weisman	NA
AT5G10560	Dumas	Downregulated
AT5G13630	Spartina	Upregulated
AT5G13630	Weisman	Downregulated
AT5G13630	Dumas	NA
AT5G13650	Spartina	Upregulated
AT5G13650	Weisman	Downregulated
AT5G13650	Dumas	NA
AT5G13750	Spartina	Upregulated
AT5G13750	Weisman	Upregulated
AT5G13750	Dumas	NA
AT5G14260	Spartina	Downregulated
AT5G14260	Weisman	Downregulated
AT5G14260	Dumas	NA
AT5G14780	Spartina	Downregulated
AT5G14780	Weisman	NA
AT5G14780	Dumas	Downregulated
AT5G16400	Spartina	Downregulated
AT5G16400	Weisman	Downregulated
AT5G16400	Dumas	NA
AT5G16710	Spartina	Upregulated
AT5G16710	Weisman	Downregulated
AT5G16710	Dumas	NA
AT5G17380	Spartina	Downregulated
AT5G17380	Weisman	Upregulated
AT5G17380	Dumas	Upregulated
AT5G17920	Spartina	Upregulated
AT5G17920	Weisman	NA
AT5G17920	Dumas	Downregulated
AT5G18480	Spartina	Upregulated
AT5G18480	Weisman	NA
AT5G18480	Dumas	Upregulated
AT5G19220	Spartina	Upregulated
AT5G19220	Weisman	Downregulated
AT5G19220	Dumas	NA
AT5G19440	Spartina	Downregulated
AT5G19440	Weisman	Upregulated
AT5G19440	Dumas	Upregulated
AT5G24300	Spartina	Upregulated
AT5G24300	Weisman	Downregulated
AT5G24300	Dumas	NA
AT5G24530	Spartina	Downregulated
AT5G24530	Weisman	Upregulated
AT5G24530	Dumas	NA
AT5G24760	Spartina	Upregulated
AT5G24760	Weisman	NA
AT5G24760	Dumas	Downregulated
AT5G24800	Spartina	Upregulated
AT5G24800	Weisman	Downregulated
AT5G24800	Dumas	NA
AT5G25770	Spartina	Upregulated
AT5G25770	Weisman	Upregulated
AT5G25770	Dumas	NA
AT5G26030	Spartina	Upregulated
AT5G26030	Weisman	NA
AT5G26030	Dumas	Upregulated
AT5G26570	Spartina	Upregulated
AT5G26570	Weisman	NA
AT5G26570	Dumas	Downregulated
AT5G33320	Spartina	Upregulated
AT5G33320	Weisman	NA
AT5G33320	Dumas	Downregulated
AT5G36170	Spartina	Downregulated
AT5G36170	Weisman	Downregulated
AT5G36170	Dumas	NA
AT5G36700	Spartina	Upregulated
AT5G36700	Weisman	Downregulated
AT5G36700	Dumas	NA
AT5G46110	Spartina	Upregulated
AT5G46110	Weisman	Downregulated
AT5G46110	Dumas	NA
AT5G47120	Spartina	Upregulated
AT5G47120	Weisman	NA
AT5G47120	Dumas	Upregulated
AT5G48790	Spartina	Upregulated
AT5G48790	Weisman	Downregulated
AT5G48790	Dumas	NA
AT5G48930	Spartina	Upregulated
AT5G48930	Weisman	NA
AT5G48930	Dumas	Downregulated
AT5G50210	Spartina	Downregulated
AT5G50210	Weisman	NA
AT5G50210	Dumas	Upregulated
AT5G52440	Spartina	Downregulated
AT5G52440	Weisman	Downregulated
AT5G52440	Dumas	NA
AT5G54270	Spartina	Upregulated
AT5G54270	Weisman	Downregulated
AT5G54270	Dumas	NA
AT5G54500	Spartina	Downregulated
AT5G54500	Weisman	Upregulated
AT5G54500	Dumas	Upregulated
AT5G61820	Spartina	Downregulated
AT5G61820	Weisman	Upregulated
AT5G61820	Dumas	Upregulated
AT5G62720	Spartina	Upregulated
AT5G62720	Weisman	NA
AT5G62720	Dumas	Upregulated
AT5G65220	Spartina	Downregulated
AT5G65220	Weisman	Downregulated
AT5G65220	Dumas	NA
AT5G65840	Spartina	Upregulated
AT5G65840	Weisman	Downregulated
AT5G65840	Dumas	NA
AT5G67030	Spartina	Downregulated
AT5G67030	Weisman	Downregulated
AT5G67030	Dumas	NA
ATCG00020	Spartina	Upregulated
ATCG00020	Weisman	Downregulated
ATCG00020	Dumas	NA
ATCG00140	Spartina	Upregulated
ATCG00140	Weisman	Downregulated
ATCG00140	Dumas	NA
ATCG00150	Spartina	Upregulated
ATCG00150	Weisman	Downregulated
ATCG00150	Dumas	NA
