ProbeName,oil_1_1_Median,oil_1_3_Median,oil_2_4_Median,oil_2_5_Median,oil_2_6_Median,oil_3_7_Median,oil_3_8_Median,oil_3_9_Median,no_4_10_Median,no_4_11_Median,no_5_13_Median,no_5_14_Median,no_5_15_Median,no_6_16_Median,no_6_17_Median,no_6_18_Median,oil_1_19_Median,no_4_20_Median
CUST_10029_PI428634872,-3.906701058,-4.013328536,-3.304052906,-3.147807449,-4.336803032,-3.771195861,-3.932526771,-3.571923833,-2.670081679,-2.581095881,-3.376287465,-3.415065665,-3.336787826,-3.626510406,-3.288035592,-3.608950311,-3.492447106,-3.398617969
CUST_1002_PI428634872,-2.472315303,-2.202198637,-2.60281703,-2.00867436,-2.599951046,-2.201064029,-2.267170111,-1.879959887,-1.725984659,-1.853158452,-2.250382517,-2.25988145,-2.231684764,-2.034613532,-2.120873531,-2.127093088,-2.325511987,-2.259973397
CUST_10030_PI428634872,2.08096275,2.487771518,2.393957005,2.646403018,2.306060039,2.405868001,2.858266344,2.456769857,2.375161446,2.962574167,2.777236698,2.916724777,2.899516929,2.957130752,2.679543412,3.047319999,2.486446798,2.891238572
CUST_10031_PI428634872,-4.163034952,-5.936500631,-3.154265884,-3.923642331,-3.315767351,-2.542242324,-2.618553801,-2.281879599,-1.620437104,-1.710636058,-2.050036587,-1.93129404,-1.922538214,-2.577739583,-2.675899,-2.309202332,-4.448016587,-1.524068959
CUST_10032_PI428634872,-4.572615552,-4.669563825,-4.176754808,-4.789881508,-3.82600065,-5.209120778,-4.216331368,-6.557264862,-3.618980314,-5.772324167,-6.375659035,-5.383506807,-5.191648215,-7.456298066,-6.525053328,-6.907007175,-4.910995687,-5.942152644
CUST_10033_PI428634872,0.467521374,-0.026474419,-0.005847892,0.006000139,-0.05574369,0.01883242,0.323416193,0.299584626,0.107340452,-0.109238075,0.432906856,0.378049238,0.268240185,0.5057088,0.095938923,0.190826872,0.077626808,0.068556871
CUST_10034_PI428634872,2.431349855,2.436809727,2.869490228,2.996221448,2.822017378,2.89430456,2.858900813,3.264465491,3.358823648,3.028752482,2.820922177,2.935946791,2.870403772,3.317073051,3.042765184,3.259557773,2.647467135,2.78519182
CUST_10035_PI428634872,-0.974887406,-1.134133019,-0.935186646,-1.060985968,-1.190189705,-0.813516526,-0.842437012,-1.004081323,-0.810958884,-0.97616998,-1.134532958,-0.972768663,-0.881461385,-1.042617593,-0.947111974,-1.011926958,-1.232665925,-0.58566929
CUST_10036_PI428634872,-1.628896473,-1.548987013,-1.231043188,-1.787024472,-1.270837691,-2.317347556,-1.671056376,-2.135383,-1.739498314,-1.366078054,-1.806319751,-1.783433998,-1.80251222,-1.608756998,-1.85403997,-1.654777773,-1.32650339,-1.314588102
CUST_10037_PI428634872,0.219335871,-0.060327242,0.427960243,0.686566138,0.719436873,0.719065553,0.626030013,1.042170164,0.833008529,0.98422273,0.885627332,0.809773182,0.861241346,1.053991302,1.056618348,1.034589713,0.904037241,0.647770797
CUST_10039_PI428634872,-0.543177939,-0.231231692,-0.085251438,-0.395960817,-0.373862159,-0.316664442,-0.52706676,-0.578268959,0.049835749,0.37239994,0.669370464,0.739950193,0.570992098,-0.165117252,-0.348947089,-0.309090004,-0.363966671,0.594900412
CUST_1003_PI428634872,-3.951843925,-3.859112686,-3.509423616,-3.033304897,-4.12775075,-3.31794873,-3.340696309,-2.76763346,-2.767910576,-2.989497644,-3.044076897,-2.946430521,-2.892374206,-2.541825153,-2.891691759,-2.527649532,-3.411430187,-3.5233759
CUST_10040_PI428634872,-2.847590274,-2.041422117,-2.504470698,-2.205511372,-3.21259876,-2.64819261,-2.746315455,-2.233478673,-1.706338708,-1.783891728,-2.084171577,-2.006884307,-1.934329122,-2.627552973,-3.232505758,-2.943393977,-2.403582014,-2.796684026
CUST_10041_PI428634872,-5.325549149,-5.971099307,-6.429246259,-6.563082051,-6.99726878,-5.94830552,-6.195597737,-6.755830493,-7.212439744,-8.268815091,-6.780824765,-7.420135001,-7.567957464,,-5.799800737,-6.942620264,-6.191004852,-6.967808855
CUST_10043_PI428634872,-3.297110157,-2.984670724,-3.086222063,-2.64846326,-3.201671771,-3.100776065,-2.472632123,-2.948089179,-4.038807315,-2.474676761,-4.110510924,-3.660211297,-3.791152597,-3.436998779,-3.345946178,-2.961061591,-2.378252818,-2.990136026
CUST_10044_PI428634872,-1.023728796,-1.138610747,-0.820686546,-0.666392307,-0.984284681,-0.839041988,-0.954793369,-1.08634589,-0.501802143,-0.467705476,-0.30927788,-0.459718711,-0.513486496,-0.788837199,-1.02733059,-0.805962639,-0.371165856,-0.60618964
CUST_10045_PI428634872,0.953864263,1.260031222,1.651286823,1.788461617,1.460606796,2.037979866,2.065915177,2.120867349,1.909007449,1.98528006,1.46168549,1.645536955,1.688079462,2.225552601,2.367854475,2.171815003,1.504585482,1.58704437
CUST_10046_PI428634872,0.535394734,0.199973662,0.438403557,0.423164088,0.546982175,0.039724373,0.237491365,-0.173056937,0.083086784,-0.136982841,0.046135273,-0.038385522,0.024376409,-0.004683018,0.060906569,0.137369942,0.207531631,0.102073926
CUST_10047_PI428634872,0.103412784,0.292074302,0.09982124,0.168898619,0.043991697,-0.000347948,-0.048018244,-0.285407884,0.250350109,0.153711004,0.541396727,0.51513118,0.50027465,-0.047582249,0.031073591,-0.006017505,0.407925422,0.275301583
CUST_10048_PI428634872,0.206436365,0.516718413,0.356357664,0.734248427,0.636254936,1.158649334,1.503928131,1.391454598,1.545599006,1.764475396,1.842323087,1.780019623,1.797106352,1.61304337,1.662575371,1.544549326,0.776704676,1.323558591
CUST_10049_PI428634872,2.322843761,2.326299688,2.319775998,2.329338282,2.440804779,1.981379376,2.141679272,2.102703224,2.481895261,2.554994034,2.496653746,2.540347595,2.494813283,2.222986683,2.086968686,2.220282226,2.24028225,2.579878771
CUST_1004_PI428634872,-3.060073838,-2.824026579,-2.67291181,-2.692828093,-3.444222585,-3.102806252,-3.555328012,-2.828897227,-3.345418776,-3.511457438,-3.318688605,-3.208109881,-2.991744438,-3.163173966,-3.216905042,-3.299337237,-2.521119625,-3.188377076
CUST_10050_PI428634872,-0.891622642,-1.301938841,-0.703498539,-0.96486953,-1.143194857,-0.170297632,-1.079744148,-0.70496487,-1.686537232,-1.356124275,-1.477464257,-1.731072743,-1.696685448,-1.060456984,-1.1459056,-1.011528049,-0.518737142,-1.318336722
CUST_10051_PI428634872,-0.718514229,-0.635828355,-0.893421577,-1.081950259,-0.676930003,-0.717572653,-1.012296838,-1.120209621,-1.334670332,-1.249418534,-0.596597731,-1.055286402,-1.205901,-0.580787248,-0.126217017,-0.896634306,-0.900753971,-1.004979371
CUST_10052_PI428634872,-1.240324526,-0.87019738,-0.752451517,-0.277697385,-0.81298849,-0.466315508,-0.456797064,-0.337201576,0.244656539,0.574603916,-0.404682375,-0.119921487,0.075643081,-0.880119727,-0.721082252,-0.638823607,-0.474057655,0.525382719
CUST_10053_PI428634872,-1.981137068,-2.261069406,-2.275666439,-2.312967294,-2.221611408,-2.267469344,-2.24744756,-2.542135496,-2.182430397,-2.34093695,-1.881832611,-2.101184676,-2.061159182,-2.119792251,-1.978249798,-2.067114928,-2.061219224,-2.119803661
CUST_10054_PI428634872,-2.150492005,-2.297532092,-2.304650247,-2.334880551,-1.700832473,-1.752268183,-1.81341914,-1.237442455,-4.292131358,-3.791964406,-4.567045003,-4.826943288,-4.818462151,-1.62297995,-1.187453751,-1.180296603,-1.869276374,-4.82572756
CUST_10055_PI428634872,-2.499509548,-3.444995846,-3.702294992,-3.583345368,-3.062540024,-3.306442228,-3.040748259,-3.045440053,-2.87374744,-4.163174614,-2.663112082,-3.378729107,-3.457001501,-4.027209633,-3.555198184,-4.030280847,-3.346581144,-3.124325866
CUST_10056_PI428634872,-0.051958608,0.408659522,0.168306402,0.007591233,-0.03985214,-0.0683385,0.006510063,-0.195342875,-0.902491919,-0.692946945,-0.571937703,-0.651825622,-0.557188338,-0.388065112,-0.383243776,-0.327425139,-0.089514323,-0.269320326
CUST_10057_PI428634872,-0.932059062,-1.039488541,-1.095869125,-0.821065934,-0.807823115,-0.774422294,-0.633225915,-0.76490627,-0.935329508,-1.030586427,-0.738617544,-0.904241508,-0.931032688,-1.416672573,-1.191268506,-1.448718411,-1.04443069,-0.651789052
CUST_10059_PI428634872,1.978150436,1.626119266,2.191845399,2.207657526,2.1204245,2.316084708,2.586309787,2.331206051,2.789492172,2.368715051,2.355345563,2.255275157,2.260998234,2.888735854,2.840565366,2.798029318,2.13794721,2.268599279
CUST_1005_PI428634872,0.379804857,0.731828813,0.641403153,0.905037147,0.582702639,1.151372736,0.951143691,1.195718571,0.48899331,0.921640166,0.543131123,0.339507676,0.364842488,1.207065475,1.258473127,1.290583374,1.081823533,0.391024477
CUST_10060_PI428634872,-0.381286263,-0.066306737,0.203901685,0.054864417,-0.244008978,-0.312899083,-0.334750992,-0.364528603,-0.847109213,-0.543168849,-0.835952807,-0.848840093,-0.720184481,-0.08406858,-0.470021648,-0.145036473,-0.180531553,-0.473602571
CUST_10061_PI428634872,-0.051255806,-0.07993165,-0.513106746,-0.557182994,-0.522522287,-0.081693996,-1.222490891,-0.928998801,-1.008012448,-1.184452728,-0.974497839,-1.224057531,-1.276161004,-0.687271816,-0.497456781,-0.749420259,0.812412313,-1.277498586
CUST_10062_PI428634872,-1.759939711,-0.38581997,-1.37421589,-1.388620624,-1.766226546,-1.527300943,-1.559959033,-1.437607986,-1.653215362,-1.612634898,-1.547946185,-1.668131766,-1.601920329,-1.756712701,-1.840067117,-1.672096027,-1.360752586,-1.520671445
CUST_10063_PI428634872,1.967146952,1.701295743,2.028035653,1.788745957,1.682253903,1.971649662,1.963163521,2.203597695,1.985056979,1.974279885,1.79267327,1.829793881,1.829693996,2.182705729,1.860737275,2.034549198,1.85778436,1.678219673
CUST_10064_PI428634872,-0.853041029,-0.678034454,-0.395715146,-0.308793973,-0.492229921,-0.16142527,-0.411214618,-0.587080721,-0.204338115,0.005392046,0.468105702,0.356218766,0.403519781,-0.9113349,-0.888197046,-1.193338601,-0.419711746,0.089962039
CUST_10065_PI428634872,1.025965621,1.756473293,1.374785395,1.415055224,1.066459537,1.697304158,1.443071032,1.445167696,1.874060368,1.904961369,1.959237877,2.052021107,2.002451896,1.589317287,1.497914521,1.337856366,1.331659859,1.56013273
CUST_10066_PI428634872,0.49279038,0.033413086,0.108617738,0.681633849,0.498382075,0.265578567,0.337580011,0.499354409,0.39262373,0.584808791,0.363653314,0.296122908,0.247044787,0.551794868,0.591233152,0.700512304,0.466963572,0.63607674
CUST_10067_PI428634872,-4.211092756,-3.648221185,-4.086487634,-3.764039309,-3.924631166,-3.793643393,-5.142644046,-3.658172547,-2.206933323,-2.532994147,-2.255711845,-2.264890027,-2.201150289,-4.887368334,-3.774737432,-4.382288088,-4.008424936,-2.528477828
CUST_10068_PI428634872,-5.493981568,-5.821916844,-5.215474781,-5.501962511,-5.20289279,-5.541566795,-5.625780673,-5.970554,-5.459905424,-5.98238911,-5.643067171,-5.733671274,-5.844922167,-5.144026328,-4.94843274,-5.172915631,-5.372417747,-5.874688531
CUST_10069_PI428634872,0.318867527,0.086039169,0.633091123,0.343467216,0.374459158,0.293574458,0.495480455,0.445108986,0.258854979,0.38456222,0.395653439,0.314127559,0.318049395,0.434111577,0.198232511,0.194635621,0.360580829,0.612129969
CUST_1006_PI428634872,-0.370147223,-0.203982073,-0.096502357,-0.063230695,-0.245125279,-0.027511693,-0.155157056,-0.183019265,-0.198272358,-0.071718456,-0.066919634,-0.119105713,-0.013145493,-0.13725044,-0.061471437,-0.041775473,-0.03158474,-0.070205136
CUST_10070_PI428634872,-0.749222901,-0.737041806,-1.135262024,-1.039159234,-0.914909975,-1.242991768,-1.056852349,-1.278641068,-1.342063124,-1.202599457,-0.955570485,-1.044981143,-1.159992785,-1.821928778,-1.855815081,-2.002309882,-1.041376696,-1.200311795
CUST_10071_PI428634872,-0.434421847,-0.725621612,-0.030477393,0.000827263,-0.489076867,-0.239555652,-0.529390419,0.176027653,-0.134274114,-0.55851111,-1.200083417,-0.735728036,-0.551934349,0.470961732,0.662399939,0.481016605,-0.70452657,-1.060682375
CUST_10072_PI428634872,-0.34078813,-0.264143096,-0.470159306,-0.491392736,-0.381751748,-0.841786577,-0.853452561,-0.815189949,-1.687540252,-1.183078368,-1.355249172,-1.224670984,-1.332394532,-0.17557031,-0.086898201,0.042243612,-0.25762066,-1.311085981
CUST_10073_PI428634872,-5.269759077,-5.663154201,-5.324983065,-5.399092825,-5.632625995,-5.285434544,-4.631142883,-5.663990869,-4.365888652,-4.90096459,-4.894456388,-4.731357866,-4.791462266,-7.496668951,-7.128301071,-7.645879332,-7.091016303,-4.91532556
