locus	WeisLog2ratio
AT3G58810	Upregulated
AT3G58140	Downregulated
AT3G57260	Upregulated
AT3G56940	Downregulated
AT3G57010	Upregulated
AT3G56650	Downregulated
AT3G56170	Upregulated
AT3G56010	Downregulated
AT3G55980	Downregulated
AT3G55630	Downregulated
AT3G55800	Downregulated
AT3G55330	Downregulated
AT3G55250	Downregulated
AT3G54890	Downregulated
AT3G54900	Downregulated
AT3G55120	Upregulated
AT3G54960	Upregulated
AT3G54640	Upregulated
AT3G54660	Downregulated
AT3G54210	Downregulated
AT3G54050	Downregulated
AT3G54040	Upregulated
AT3G53800	Downregulated
AT3G53920	Downregulated
AT3G53480	Upregulated
AT3G52930	Upregulated
AT3G52150	Downregulated
AT3G52070	Downregulated
AT3G51420	Downregulated
AT3G50970	Upregulated
AT3G51510	Downregulated
AT3G51240	Upregulated
AT3G50820	Downregulated
AT3G50790	Downregulated
AT3G50440	Upregulated
AT3G50480	Upregulated
AT3G50685	Downregulated
AT3G50740	Upregulated
AT3G50060	Downregulated
AT3G50260	Upregulated
AT3G49780	Upregulated
AT3G49960	Downregulated
AT3G49110	Upregulated
 AT3G49120	Upregulated
AT3G48200	Downregulated
AT3G48420	Downregulated
AT3G48360	Downregulated
AT3G47860	Downregulated
AT3G47650	Downregulated
AT3G47295	Downregulated
AT3G47340	Downregulated
AT3G47470	Downregulated
AT3G46780	Downregulated
AT3G47070	Downregulated
AT3G46630	Downregulated
AT3G46600	Downregulated
AT3G45780	Downregulated
AT3G45970	Downregulated
AT3G45620	Upregulated
AT3G44990	Upregulated
AT3G45140	Upregulated
AT3G44750	Upregulated
AT3G44300	Upregulated
 AT3G44310	Upregulated
AT3G44260	Downregulated
AT3G43670	Downregulated
AT3G43720	Downregulated
AT4G39950	Upregulated
AT4G39710	Downregulated
AT4G39970	Downregulated
AT4G38970	Downregulated
AT4G38690	Downregulated
AT4G38620	Upregulated
AT4G38860	Downregulated
AT4G38770	Downregulated
AT4G38540	Upregulated
AT4G37930	Downregulated
AT4G37800	Downregulated
AT4G37870	Upregulated
AT4G37300	Downregulated
AT4G37610	Downregulated
AT4G37520	Upregulated
 AT4G37530	Upregulated
AT4G35760	Downregulated
AT4G35770	Downregulated
AT4G35250	Downregulated
AT4G34710	Upregulated
AT4G34131	Upregulated
 AT4G34135	Upregulated
AT4G34090	Downregulated
AT4G33666	Downregulated
AT4G33960	Downregulated
AT4G33500	Downregulated
AT4G33470	Downregulated
AT4G33540	Upregulated
AT4G33150	Upregulated
AT4G33010	Downregulated
AT4G33050	Upregulated
AT4G32260	Downregulated
AT4G32340	Downregulated
AT4G31800	Upregulated
AT4G31530	Downregulated
AT4G30950	Downregulated
AT4G30690	Downregulated
AT4G30580	Downregulated
AT4G30490	Upregulated
AT4G30440	Downregulated
AT4G30020	Downregulated
AT4G29520	Upregulated
AT4G29190	Downregulated
AT4G28750	Downregulated
AT4G29070	Downregulated
AT4G29030	Upregulated
AT4G29060	Downregulated
AT4G28030	Downregulated
AT4G28080	Downregulated
AT4G27600	Downregulated
AT4G27700	Downregulated
AT4G27440	Downregulated
AT4G27450	Downregulated
AT4G27280	Downregulated
AT4G26320	Upregulated
AT4G26530	Downregulated
AT4G25910	Downregulated
AT4G25900	Upregulated
AT4G25640	Upregulated
AT4G25100	Downregulated
AT4G25050	Downregulated
AT4G25080	Downregulated
AT4G24570	Downregulated
AT4G24770	Downregulated
AT4G23890	Downregulated
AT4G23885	Upregulated
AT4G23700	Upregulated
AT4G23820	Downregulated
AT4G23600	Upregulated
AT4G23680	Upregulated
AT4G23400	Downregulated
AT4G22870	Upregulated
 AT4G22880	Upregulated
AT4G22890	Downregulated
AT4G22920	Upregulated
AT4G22690	Downregulated
 AT4G22710	Downregulated
AT4G21990	Upregulated
AT4G21910	Upregulated
AT4G21580	Upregulated
AT4G21280	Downregulated
AT4G20860	Upregulated
AT4G20360	Downregulated
AT4G20110	Upregulated
AT4G19810	Upregulated
AT4G19880	Upregulated
AT4G19690	Upregulated
AT4G19530	Downregulated
AT4G19120	Downregulated
AT4G19170	Downregulated
AT4G18970	Downregulated
AT4G18240	Downregulated
AT4G18370	Downregulated
AT4G13830	Downregulated
AT4G13510	Upregulated
AT4G13840	Downregulated
AT4G13180	Upregulated
AT4G13250	Downregulated
AT4G12800	Downregulated
AT4G12480	Upregulated
AT4G12470	Upregulated
AT4G12510	Upregulated
 AT4G12520	Upregulated
AT4G12550	Downregulated
AT4G12490	Upregulated
AT4G12310	Downregulated
 AT4G12320	Downregulated
AT4G11570	Downregulated
AT4G11650	Upregulated
AT4G11280	Downregulated
AT4G10340	Downregulated
AT4G10500	Upregulated
AT4G10060	Downregulated
AT4G10120	Downregulated
AT4G09650	Downregulated
AT4G09010	Downregulated
AT4G08770	Upregulated
AT4G05180	Downregulated
AT4G04640	Downregulated
AT4G04840	Downregulated
AT4G04770	Downregulated
AT4G04330	Downregulated
AT4G04340	Downregulated
AT4G03510	Downregulated
AT4G03280	Downregulated
AT4G02530	Downregulated
AT4G02790	Downregulated
AT4G02920	Downregulated
AT4G02770	Downregulated
AT4G02380	Upregulated
AT4G01800	Downregulated
AT4G01150	Downregulated
AT4G01050	Downregulated
AT4G01610	Upregulated
AT4G01390	Upregulated
AT4G01310	Downregulated
AT1G32070	Downregulated
AT1G32080	Downregulated
AT1G32060	Downregulated
AT1G25550	Downregulated
AT1G16720	Downregulated
AT2G33380	Upregulated
AT2G40610	Downregulated
AT2G40490	Downregulated
AT1G20340	Downregulated
AT1G17830	Upregulated
AT1G17860	Upregulated
AT1G19150	Downregulated
AT1G58290	Downregulated
AT1G58360	Upregulated
AT1G07110	Downregulated
AT1G07050	Downregulated
AT1G16880	Downregulated
AT1G18210	Upregulated
AT1G18170	Downregulated
AT3G08510	Downregulated
AT1G51805	Downregulated
AT1G50900	Downregulated
AT1G56300	Downregulated
AT3G12610	Downregulated
AT3G12500	Upregulated
AT1G69530	Downregulated
AT1G30380	Downregulated
AT1G55020	Upregulated
AT1G66580	Upregulated
AT3G11170	Downregulated
 AT5G05580	Downregulated
AT3G10940	Downregulated
AT1G75270	Upregulated
AT1G66150	Downregulated
AT1G66100	Downregulated
AT3G28740	Upregulated
AT3G22240	Upregulated
AT3G13610	Upregulated
AT3G27160	Downregulated
AT3G25690	Downregulated
AT3G22231	Upregulated
AT3G13750	Downregulated
AT3G13790	Upregulated
AT3G22210	Downregulated
AT3G22850	Upregulated
AT3G15190	Downregulated
AT3G26440	Upregulated
AT3G22600	Upregulated
AT3G21055	Downregulated
AT3G18250	Upregulated
AT3G18290	Upregulated
AT3G18280	Upregulated
AT3G19660	Upregulated
AT3G19680	Downregulated
AT3G28860	Downregulated
AT3G24430	Downregulated
AT3G23700	Downregulated
AT3G13120	Downregulated
AT3G14990	Upregulated
AT3G14940	Upregulated
AT3G14930	Downregulated
AT3G27925	Downregulated
AT3G27880	Upregulated
AT3G24170	Upregulated
AT3G22060	Upregulated
AT3G26570	Downregulated
AT2G26020	Upregulated
AT3G26580	Downregulated
AT3G26210	Upregulated
AT3G26280	Downregulated
AT3G13310	Upregulated
AT3G12740	Upregulated
AT3G18390	Downregulated
AT3G23030	Downregulated
AT3G23050	Downregulated
AT3G23080	Downregulated
AT3G29185	Downregulated
AT3G27060	Upregulated
AT3G26710	Downregulated
AT3G17100	Downregulated
AT3G21710	Upregulated
AT3G21770	Upregulated
AT3G19800	Downregulated
AT3G20820	Downregulated
AT3G16240	Downregulated
AT3G16250	Downregulated
AT3G14620	Upregulated
AT3G25920	Downregulated
AT3G14650	Downregulated
AT3G24503	Upregulated
AT3G18080	Downregulated
AT3G18050	Downregulated
AT3G17790	Upregulated
AT3G17820	Upregulated
AT3G21560	Upregulated
AT3G21670	Downregulated
AT3G27690	Downregulated
AT3G15850	Downregulated
AT3G26830	Upregulated
AT3G26900	Downregulated
AT3G16140	Downregulated
AT3G22840	Upregulated
AT3G16000	Downregulated
AT3G14415	Downregulated
 AT3G14420	Downregulated
AT3G15360	Downregulated
AT3G15450	Downregulated
AT3G16570	Downregulated
AT3G16770	Downregulated
AT3G02690	Downregulated
AT3G02480	Upregulated
AT3G04120	Upregulated
AT3G02730	Downregulated
AT3G08770	Upregulated
AT3G10720	Downregulated
AT3G04720	Upregulated
AT3G04070	Upregulated
AT3G04000	Upregulated
AT3G03150	Downregulated
AT3G06420	Upregulated
AT3G05730	Downregulated
AT3G10520	Downregulated
AT3G10500	Upregulated
AT3G10060	Downregulated
AT3G01440	Downregulated
AT3G08920	Downregulated
AT3G08940	Downregulated
AT3G07310	Downregulated
AT3G09270	Upregulated
AT3G04790	Downregulated
AT3G01500	Downregulated
AT3G01690	Downregulated
AT3G01480	Downregulated
AT3G07720	Upregulated
AT3G01290	Upregulated
AT3G01190	Upregulated
AT3G05350	Downregulated
AT1G13260	Downregulated
AT3G16370	Downregulated
AT1G17745	Upregulated
AT1G01470	Upregulated
AT1G02360	Upregulated
AT1G44000	Downregulated
AT1G18980	Upregulated
AT1G19020	Upregulated
AT1G15820	Downregulated
AT1G15670	Upregulated
AT1G21250	Upregulated
AT1G56500	Downregulated
AT1G52410	Upregulated
AT1G42970	Downregulated
AT1G56500	Downregulated
AT1G52400	Upregulated
AT1G55210	Upregulated
AT1G77490	Downregulated
AT1G60950	Downregulated
AT1G71030	Downregulated
AT1G77510	Upregulated
AT1G29510	Downregulated
AT1G29660	Downregulated
AT1G29670	Downregulated
AT1G72150	Downregulated
AT1G49860	Upregulated
AT1G52220	Downregulated
AT1G52190	Downregulated
AT1G52230	Downregulated
AT1G52200	Upregulated
AT1G68440	Upregulated
AT1G76680	Upregulated
 AT1G76690	Upregulated
AT1G76730	Downregulated
AT1G72610	Downregulated
AT1G71500	Downregulated
AT1G72680	Upregulated
AT1G75040	Upregulated
AT1G19350	Downregulated
 AT1G75080	Downregulated
AT1G76450	Downregulated
AT1G76490	Downregulated
AT1G67970	Downregulated
AT1G67920	Upregulated
AT1G67870	Downregulated
AT1G67865	Downregulated
AT1G68010	Downregulated
AT1G73655	Downregulated
AT1G73830	Downregulated
AT1G73170	Downregulated
AT1G73260	Upregulated
AT1G35420	Downregulated
AT1G79850	Downregulated
AT1G52890	Upregulated
AT1G74670	Downregulated
AT1G74470	Downregulated
AT1G68530	Downregulated
AT1G80380	Downregulated
AT1G63840	Upregulated
AT1G70530	Upregulated
AT1G69740	Downregulated
AT1G74020	Upregulated
AT1G74030	Upregulated
AT1G69880	Upregulated
AT1G69870	Upregulated
AT1G69830	Downregulated
AT1G72430	Downregulated
AT1G10960	Downregulated
AT1G51500	Downregulated
AT2G43560	Downregulated
AT2G43550	Downregulated
AT2G43510	Upregulated
AT2G43590	Upregulated
AT2G43820	Upregulated
AT2G43570	Upregulated
AT2G47200	Upregulated
AT1G53310	Upregulated
AT1G55920	Upregulated
AT1G62430	Downregulated
AT1G32470	Downregulated
AT1G78380	Upregulated
AT1G49050	Upregulated
AT1G78340	Upregulated
AT1G43670	Downregulated
AT1G21900	Upregulated
AT1G21910	Downregulated
AT1G21500	Downregulated
AT1G29070	Downregulated
AT1G45145	Upregulated
AT1G06040	Downregulated
AT1G12250	Downregulated
AT1G26390	Upregulated
AT1G12200	Upregulated
AT1G01430	Downregulated
AT1G07280	Downregulated
AT1G07320	Downregulated
AT1G07440	Downregulated
AT1G75460	Downregulated
AT1G19740	Downregulated
AT1G19770	Downregulated
AT1G19550	Upregulated
 AT1G19570	Upregulated
AT1G32990	Downregulated
AT1G32920	Downregulated
AT1G12900	Downregulated
AT1G12800	Downregulated
AT1G20020	Downregulated
AT1G19960	Upregulated
AT1G20190	Downregulated
AT1G20010	Downregulated
AT1G32960	Upregulated
AT1G44800	Upregulated
AT1G44920	Downregulated
AT1G18890	Upregulated
AT1G18730	Downregulated
AT1G21130	Downregulated
AT1G14345	Downregulated
AT1G71695	Downregulated
AT1G01790	Downregulated
AT1G01720	Upregulated
AT1G47400	Upregulated
AT1G08450	Upregulated
AT1G08520	Downregulated
AT1G08380	Downregulated
AT1G76080	Downregulated
AT1G76100	Downregulated
AT1G15980	Downregulated
AT1G30510	Upregulated
AT1G80840	Downregulated
AT1G64680	Downregulated
AT1G64510	Downregulated
AT1G64590	Downregulated
AT1G35612	Downregulated
AT1G35680	Downregulated
AT1G59590	Upregulated
AT1G56110	Upregulated
AT1G02850	Upregulated
AT1G02920	Upregulated
 AT1G02930	Upregulated
AT1G52690	Upregulated
AT1G77920	Upregulated
AT1G52510	Downregulated
AT1G78020	Downregulated
AT1G74730	Downregulated
AT1G74970	Downregulated
AT2G01110	Downregulated
AT1G68620	Upregulated
AT1G48350	Downregulated
AT1G53870	Downregulated
 AT1G53890	Downregulated
AT1G68570	Upregulated
AT1G70760	Downregulated
AT1G70890	Downregulated
AT1G70820	Downregulated
AT1G70810	Upregulated
AT2G48140	Upregulated
AT1G73060	Downregulated
AT1G72920	Downregulated
AT1G72940	Downregulated
AT1G49500	Downregulated
AT1G50320	Downregulated
AT1G11260	Downregulated
AT1G50250	Downregulated
AT1G17220	Downregulated
AT1G21830	Downregulated
AT1G21670	Upregulated
AT1G21750	Upregulated
AT1G17180	Upregulated
AT1G17170	Upregulated
AT1G31330	Downregulated
AT1G14150	Downregulated
AT1G06460	Downregulated
AT1G06680	Downregulated
AT1G62750	Downregulated
AT1G14210	Upregulated
AT1G75900	Upregulated
AT1G62780	Downregulated
AT1G10760	Downregulated
AT1G14870	Upregulated
 AT1G14880	Upregulated
AT1G64770	Downregulated
AT1G64860	Downregulated
AT1G64720	Downregulated
AT1G59960	Upregulated
AT1G65690	Upregulated
AT1G16300	Upregulated
 AT1G79530	Upregulated
AT1G54500	Downregulated
AT1G54520	Downregulated
AT1G75690	Downregulated
AT1G23390	Downregulated
AT1G23310	Downregulated
AT1G24020	Upregulated
AT2G05380	Upregulated
AT2G05310	Downregulated
 AT4G13500	Downregulated
AT2G18140	Upregulated
 AT2G18150	Upregulated
AT1G03130	Downregulated
AT1G78570	Upregulated
AT1G78660	Upregulated
AT1G65230	Downregulated
AT1G54000	Upregulated
 AT1G54010	Upregulated
AT1G54100	Upregulated
AT1G05560	Upregulated
AT1G30720	Upregulated
 AT1G30730	Upregulated
AT1G30700	Upregulated
AT2G05070	Downregulated
 AT2G05100	Downregulated
AT2G13360	Downregulated
AT2G04090	Upregulated
 AT2G04100	Upregulated
AT2G31945	Upregulated
AT2G31880	Upregulated
AT2G42540	Upregulated
AT2G21620	Upregulated
AT2G04700	Downregulated
AT1G04240	Downregulated
AT1G09340	Downregulated
AT1G04420	Downregulated
AT1G60010	Downregulated
AT2G21330	Downregulated
AT2G21385	Downregulated
AT2G04400	Upregulated
AT2G40300	Downregulated
AT2G36950	Upregulated
AT2G21960	Downregulated
AT2G36250	Downregulated
AT2G36580	Upregulated
 AT3G52990	Upregulated
AT2G36530	Upregulated
AT2G36220	Upregulated
AT2G42790	Upregulated
AT2G21210	Downregulated
AT2G03750	Downregulated
AT2G22540	Downregulated
AT1G78995	Downregulated
AT1G65260	Downregulated
AT1G54780	Downregulated
AT1G22690	Downregulated
AT1G22630	Downregulated
AT1G22640	Downregulated
AT1G22770	Downregulated
AT1G09210	Upregulated
AT1G12090	Downregulated
AT2G25080	Downregulated
AT1G11860	Downregulated
AT1G10140	Upregulated
AT1G09560	Upregulated
AT1G05190	Downregulated
AT1G05340	Upregulated
AT2G17720	Upregulated
AT1G04640	Downregulated
AT1G65500	Upregulated
AT1G08980	Downregulated
AT1G09970	Upregulated
AT1G09750	Downregulated
AT1G22840	Upregulated
AT1G23020	Upregulated
AT1G08540	Downregulated
AT1G08550	Downregulated
AT1G08830	Upregulated
AT1G03600	Downregulated
AT1G03680	Downregulated
AT1G23130	Downregulated
AT1G60740	Upregulated
 AT1G65970	Upregulated
AT1G77120	Upregulated
AT1G76960	Upregulated
AT1G77090	Downregulated
AT1G67360	Upregulated
AT1G61520	Downregulated
AT1G52030	Upregulated
 AT1G52040	Upregulated
AT1G03850	Upregulated
AT1G55480	Downregulated
AT1G62570	Upregulated
AT1G51400	Downregulated
AT2G43030	Downregulated
AT2G20260	Downregulated
AT2G22670	Downregulated
AT2G18300	Downregulated
AT2G16700	Upregulated
AT2G16720	Upregulated
AT2G06520	Downregulated
AT2G20670	Downregulated
AT2G10940	Downregulated
AT2G20890	Downregulated
AT2G20920	Downregulated
AT2G15580	Downregulated
AT2G15960	Downregulated
AT2G05540	Downregulated
AT2G05520	Upregulated
